position_id,side,short_strike,long_strike,expiry,qty,status,order_id,credit_limit,credit_fill,exit_reason,close_order_id,close_limit,close_fill,pnl_live,opened_ts,closed_ts,note
2026-09-23-MEIC-12:00-PUT,PUT,7695.0,7665.0,2026-09-23,1,SKIPPED,1008034441295,1.72,,,,,,,2026-09-23T12:00:19-04:00,,open REJECTED
2026-09-23-MEIC-12:00-CALL,CALL,7730.0,7760.0,2026-09-23,1,EXPIRED,1008034441297,2.20,2.20,TP,1008042117640,0.13,0.00,220.00,2026-09-23T12:00:20-04:00,2026-09-23T16:24:02-04:00,rung0 | cash settle
2026-09-23-MEIC-12:30-PUT,PUT,7695.0,7665.0,2026-09-23,1,EXPIRED,1008035575838,1.70,1.70,STOPPED,1008042117642,4.48,0.00,170.00,2026-09-23T12:30:22-04:00,2026-09-23T16:24:02-04:00,rung0 | cash settle
2026-09-23-MEIC-12:30-CALL,CALL,7730.0,7760.0,2026-09-23,1,EXPIRED,1008035575542,1.70,1.85,TP,1008042117645,0.13,0.00,185.00,2026-09-23T12:30:23-04:00,2026-09-23T16:24:02-04:00,rung0 | cash settle
2026-09-23-MEIC-13:00-PUT,PUT,7685.0,7655.0,2026-09-23,1,SKIPPED,1008037184162,1.97,,,,,,,2026-09-23T13:00:29-04:00,,open REJECTED
2026-09-23-MEIC-13:00-CALL,CALL,7720.0,7750.0,2026-09-23,1,SKIPPED,1008037184166,1.88,,,,,,,2026-09-23T13:00:29-04:00,,open REJECTED
2026-09-23-MEIC-13:30-PUT,PUT,7680.0,7650.0,2026-09-23,1,SKIPPED,1008037185860,1.57,,,,,,,2026-09-23T13:30:16-04:00,,open REJECTED
2026-09-23-MEIC-13:30-CALL,CALL,7715.0,7745.0,2026-09-23,1,EXPIRED,1008037185862,2.25,2.25,STOPPED,1008042117648,4.52,0.00,225.00,2026-09-23T13:30:17-04:00,2026-09-23T16:24:02-04:00,rung0 | cash settle
2026-09-23-MEIC-14:00-PUT,PUT,7705.0,7675.0,2026-09-23,1,EXPIRED,1008039041426,1.95,1.95,STOPPED,1008042117650,4.18,0.00,195.00,2026-09-23T14:00:06-04:00,2026-09-23T16:24:02-04:00,rung0 | cash settle
2026-09-23-MEIC-14:00-CALL,CALL,7735.0,7765.0,2026-09-23,1,EXPIRED,1008039041429,1.60,1.60,TP,1008042117380,0.10,0.00,160.00,2026-09-23T14:00:07-04:00,2026-09-23T16:24:02-04:00,rung0 | cash settle
2026-09-23-MEIC-14:30-PUT,PUT,7705.0,7675.0,2026-09-23,1,SKIPPED,1008039903831,2.42,,,,,,,2026-09-23T14:30:25-04:00,,open REJECTED
2026-09-23-MEIC-14:30-CALL,CALL,7720.0,7750.0,2026-09-23,1,SKIPPED,1008040196514,2.20,,,,,,,2026-09-23T14:30:25-04:00,,unfilled after reprice
2026-09-24-MEIC-12:00-PUT,PUT,7645.0,7615.0,2026-09-24,1,OPEN,1008050297878,1.75,1.75,,,,,,2026-09-24T12:00:03-04:00,,
2026-09-24-MEIC-12:00-CALL,CALL,7695.0,7725.0,2026-09-24,1,CLOSING,1008050297881,1.60,1.60,STOPPED,1008052035112,7.60,,,2026-09-24T12:00:03-04:00,2026-09-24T12:24:54-04:00,rung2
2026-09-24-MEIC-12:30-PUT,PUT,7665.0,7635.0,2026-09-24,1,OPEN,1008052035501,1.45,1.50,,,,,,2026-09-24T12:30:07-04:00,,
2026-09-24-MEIC-12:30-CALL,CALL,7730.0,7760.0,2026-09-24,1,CLOSED,1008052035503,1.85,1.85,STOPPED,1008053424297,4.60,4.25,-240.00,2026-09-24T12:30:07-04:00,2026-09-24T12:42:09-04:00,rung0
2026-09-24-MEIC-13:00-PUT,PUT,7675.0,7645.0,2026-09-24,1,OPENING,1008053425616,1.45,,,,,,,2026-09-24T13:00:25-04:00,,
2026-09-24-MEIC-13:00-CALL,CALL,7740.0,7770.0,2026-09-24,1,OPENING,1008053425618,1.80,,,,,,,2026-09-24T13:00:26-04:00,,
